,song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,labels
734,忽然很想你,許慧欣,2002-01-01,36,mandopop,41,0.55,0.547,249040.0,0.6859999999999999,0.0,4,0.127,-6.795,1,0.142,136.235,0.456,2
735,藍天,Yida Huang,2004-04-19,39,mandopop,44,0.826,0.624,280707.0,0.494,0.0,7,0.119,-9.308,1,0.028,120.044,0.391,4
736,為我好,Fish Leong,2003-02-12,45,c-pop,64,0.512,0.601,236851.0,0.5329999999999999,0.0,9,0.096,-6.075,1,0.036000000000000004,136.07,0.414,4
737,他一定很愛你,A-do,2002-04-12,34,mandopop,46,0.48,0.322,210834.0,0.518,0.0,9,0.122,-6.26,1,0.0586,203.311,0.16899999999999998,4
738,小時候,Nan Quan Mama,2004-05-12,34,mandopop,47,0.0654,0.475,225120.0,0.599,3.05e-05,8,0.395,-6.247000000000001,1,0.0279,136.0,0.14300000000000002,0
739,我們的愛,F.I.R.飛兒樂團,2004-04-30,57,mandopop,58,0.502,0.509,287027.0,0.6459999999999999,1.23e-05,5,0.0989,-4.051,0,0.0301,136.054,0.135,4
740,猜不透,Della,2008-10-07,62,mandopop,57,0.56,0.565,233360.0,0.455,0.0,4,0.115,-6.6320000000000014,1,0.0346,139.95600000000002,0.182,2
741,最想念的季節,Victor Wong,2002-06-18,41,c-pop,52,0.0642,0.517,274037.0,0.655,0.0,10,0.118,-5.273,1,0.0373,78.197,0.383,0
742,太委屈,陶晶瑩,2000-09-01,43,classic mandopop,41,0.7759999999999999,0.6609999999999999,291307.0,0.416,0.0,11,0.134,-9.532,1,0.0267,110.001,0.328,4
743,K歌之王,Eason Chan,2001-07-19,54,c-pop,69,0.731,0.396,218050.0,0.353,1.1e-06,2,0.214,-8.91,1,0.0298,76.27600000000002,0.28800000000000003,2
744,開始懂了,Stefanie Sun,2000-12-07,51,c-pop,62,0.419,0.638,271493.0,0.441,7.390000000000001e-05,8,0.11,-6.909,0,0.029,117.933,0.151,4
745,情非得已,Harlem Yu,2001-05-10,63,c-pop,53,0.436,0.6859999999999999,273960.0,0.48,0.0,9,0.0879,-7.59,0,0.0241,106.908,0.7290000000000001,0
746,我不想忘記你,Claire Kuo,2007-06-29,46,mandopop,51,0.75,0.528,245893.0,0.483,0.0,2,0.11,-5.902,1,0.0312,119.706,0.162,2
747,壞人,Abin Fang,2008-11-10,52,malaysian mandopop,49,0.388,0.526,300069.0,0.523,0.0,11,0.0955,-6.045,1,0.0359,99.834,0.272,4
748,完整,Sammi Cheng,1995-11-01,46,c-pop,58,0.627,0.531,256840.0,0.47,0.0,5,0.101,-9.239,1,0.0305,120.68,0.214,4
749,比我幸福,Daniel Chan,2000-01-01,44,c-pop,44,0.8029999999999999,0.35600000000000004,272933.0,0.483,0.0,9,0.0731,-8.101,1,0.0357,101.586,0.387,4
750,愛多少 早知道,殷悅,2003-06-01,47,taiwan pop,39,0.625,0.581,270933.0,0.475,0.0,3,0.122,-6.5120000000000005,1,0.0273,105.037,0.241,2
751,告訴我,Cheer Chen,2000-04-12,42,c-pop,55,0.627,0.597,313733.0,0.444,0.000161,0,0.123,-9.198,1,0.0247,140.033,0.285,2
752,不得不愛,Will Pan,2005-07-08,57,mandopop,56,0.7509999999999999,0.7190000000000001,281413.0,0.484,0.0,8,0.0776,-7.898,1,0.0944,79.995,0.438,4
753,答案,CoCo Lee,1998-06-18,37,mandopop,47,0.693,0.335,228345.0,0.412,0.0,9,0.127,-6.1,1,0.0279,78.374,0.14,4
754,痛彻心扉,Nicholas Teo,2006-02-28,44,c-pop,51,0.723,0.5379999999999999,256440.0,0.312,0.0,5,0.0922,-9.838,1,0.0299,139.839,0.25,4
755,愛太遠,利綺,1999-06-01,42,none,29,0.888,0.508,287960.0,0.326,0.0,3,0.14800000000000002,-7.419,1,0.0282,92.896,0.28800000000000003,2
756,May I Love You,Z-Chen,2002-07-10,42,malaysian mandopop,48,0.0123,0.617,280933.0,0.411,0.0,9,0.135,-8.507,1,0.031,139.918,0.316,0
757,我愛你那麼多,Elva Hsiao,2001,42,c-pop,50,0.609,0.395,219907.0,0.362,0.0,6,0.0914,-7.691,1,0.0399,131.245,0.208,4
758,洋蔥,Aska Yang,2008-01-11,51,mandopop,54,0.239,0.607,278431.0,0.5429999999999999,0.0,0,0.104,-5.048,1,0.0282,129.968,0.235,6
759,愛了很久的朋友 - 電影《後來的我們》插曲,Hebe Tien,2018-03-29,53,c-pop,63,0.861,0.362,268507.0,0.333,1.23e-06,5,0.0961,-8.526,1,0.0314,129.901,0.128,4
760,小情歌,Sodagreen,2006,7,c-pop,57,0.785,0.524,273573.0,0.525,0.0,2,0.0809,-9.274,1,0.0316,132.108,0.254,2
761,街角的祝福,Penny Tai,2002,48,c-pop,53,0.923,0.648,248573.0,0.353,6.24e-05,11,0.111,-7.207000000000002,1,0.0283,95.997,0.398,4
762,江南,JJ Lin,2004-06-04,58,mandopop,72,0.75,0.621,265000.0,0.517,0.0,7,0.315,-9.433,0,0.0371,120.021,0.404,4
763,至少還有你,Sandy Lam,2014-08-01,59,c-pop,55,0.531,0.479,274800.0,0.542,5.19e-06,4,0.13699999999999998,-5.587999999999999,1,0.0322,124.692,0.34700000000000003,2
764,荒廢,Phil Chang,2003,37,c-pop,50,0.636,0.49,300200.0,0.363,0.0,3,0.161,-8.664,1,0.0422,125.66,0.116,2
765,知道,A-Mei Chang,2002-08-16,41,c-pop,63,0.8270000000000001,0.359,273626.0,0.4270000000000001,0.0,9,0.0868,-8.152999999999999,1,0.033,136.412,0.273,4
766,第一次,Michael Wong,2006-09-15,56,c-pop,54,0.596,0.601,263353.0,0.38,0.0,0,0.0852,-8.772,1,0.0259,104.738,0.249,2
767,天空,Jolin Tsai,2005-04-25,54,mandopop,64,0.0455,0.4970000000000001,277627.0,0.474,0.0,5,0.0798,-8.357000000000001,1,0.035,125.865,0.163,0
768,忠孝東路走九遍,Power Station,2001-02-13,45,c-pop,50,0.34700000000000003,0.631,292133.0,0.452,0.0,3,0.0982,-7.074,1,0.0297,123.794,0.273,6
769,相遇太早,Where Chou,2000-05-01,37,classic mandopop,40,0.109,0.255,302067.0,0.418,0.0,10,0.285,-9.604,1,0.0493,175.263,0.255,0
770,可愛女人,Jay Chou,2000-11-06,44,c-pop,77,0.539,0.767,239027.0,0.672,5.95e-05,5,0.188,-9.985,1,0.0306,135.446,0.916,6
771,製造浪漫,Kelly Chen,2002-11-29,42,c-pop,48,0.271,0.487,282867.0,0.809,0.0,7,0.193,-3.553,1,0.123,204.842,0.6509999999999999,0
772,給我你的愛,TANK 呂建忠,2006-03-31,43,mandopop,51,0.313,0.575,285280.0,0.505,1.49e-05,9,0.872,-6.375,1,0.0308,120.05,0.29100000000000004,0
773,同手同腳,Landy Wen,2007-08-03,43,mandopop,49,0.62,0.608,257707.0,0.476,0.0,4,0.101,-7.1320000000000014,1,0.0368,125.907,0.106,2
774,愛我別走,Zhang Zhen Yue,1998-12-11,56,c-pop,54,0.552,0.6459999999999999,284467.0,0.35600000000000004,1.63e-06,0,0.0964,-10.804,1,0.0268,90.079,0.684,2
775,熱帶雨林,S.H.E,2002-01-29,45,c-pop,60,0.181,0.472,281000.0,0.627,0.0,1,0.62,-6.597,1,0.0579,169.873,0.195,6
776,心太軟,Richie Jen,1996-12-24,50,c-pop,49,0.0792,0.703,350400.0,0.551,0.0,8,0.197,-6.452000000000001,1,0.0269,92.298,0.423,0
777,龍捲風,Jay Chou,2000-11-06,43,c-pop,77,0.6759999999999999,0.636,250867.0,0.5539999999999999,0.0,9,0.104,-6.613,1,0.0324,143.944,0.5329999999999999,4
778,鄉下來的,玖壹壹,2018-12-05,43,chinese hip hop,52,0.419,0.684,194639.0,0.922,0.0,8,0.17600000000000002,-3.188,1,0.0541,97.996,0.58,0
779,Cry Out,ONE OK ROCK,2015-09-25,52,j-pop,74,0.00154,0.334,227933.0,0.941,0.0,5,0.151,-4.4060000000000015,1,0.111,168.032,0.282,0
