song_name,artist_name,release_date,popularity,genres,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,85,canadian contemporary r&b,74,0.866,0.46399999999999997,208687.0,0.473,0.0,1,0.109,-10.086,1,0.129,75.801,0.604
bad guy,Billie Eilish,2019-03-29,95,electropop,97,0.32799999999999996,0.701,194088.0,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,0.562
July,Noah Cyrus,2019-07-31,86,dance pop,80,0.868,0.708,156107.0,0.18600000000000003,0.0,9,0.0779,-8.953,0,0.0422,72.541,0.321
Beautiful People (feat. Khalid),Ed Sheeran,2019-06-28,93,pop,97,0.124,0.64,197867.0,0.648,0.0,5,0.0802,-8.113,0,0.187,92.977,0.5479999999999999
Orphans,Coldplay,2019-10-24,85,permanent wave,92,0.0254,0.503,197533.0,0.8079999999999999,0.00162,11,0.557,-5.051,0,0.045,107.975,0.28300000000000003
無神論,Tang Siu Hau,2019-11-29,23,cantopop,35,0.0226,0.607,214018.0,0.644,0.0006219999999999999,3,0.203,-5.6370000000000005,1,0.0298,129.994,0.331
黑方格,Phil Lam,2019-11-29,25,cantopop,48,0.887,0.34600000000000003,226893.0,0.39399999999999996,0.0,1,0.1,-9.399,1,0.0322,141.123,0.39899999999999997
平安夜,Gigi Leung,2019-11-29,26,c-pop,49,0.9109999999999999,0.519,210579.0,0.301,0.000183,3,0.134,-10.094,1,0.0277,75.983,0.33399999999999996
SIN CITY,MADBOII,2019-11-29,21,hong kong hip hop,33,0.379,0.738,175102.0,0.812,0.0,1,0.0603,-2.8539999999999996,0,0.22699999999999998,73.539,0.396
第千次重逢,李靖筠,2019-11-29,22,none,24,0.7509999999999999,0.617,218779.0,0.418,0.0,5,0.198,-8.323,1,0.0277,119.916,0.257
"嫁給愛情 - 劇集 ""多功能老婆"" 主題曲",Miriam Yeung,2019-11-26,37,c-pop,56,0.7759999999999999,0.556,265614.0,0.539,0.0,2,0.10800000000000001,-6.749,0,0.0335,143.796,0.342
心之書,Lil’ Ashes,2019-11-22,35,cantopop,35,0.41200000000000003,0.637,218171.0,0.495,0.0,11,0.12,-9.083,1,0.193,169.975,0.6859999999999999
哪懼牆攀不上 (《獅子山上》主題曲),Terence Siufay,2019-11-22,35,c-pop,45,0.873,0.6990000000000001,264432.0,0.268,0.00011599999999999999,1,0.371,-11.842,0,0.0308,140.05100000000002,0.252
頭頂有角 (feat. SHIMICA),Kenny Kwan,2019-11-18,15,cantopop,35,0.0357,0.7040000000000001,218400.0,0.8490000000000001,0.0,0,0.298,-4.404,1,0.115,124.986,0.6990000000000001
What Did You Say,Dusty Bottle,2019-11-11,38,hong kong indie,32,0.0944,0.645,224844.0,0.7120000000000001,0.0,5,0.0959,-6.466,0,0.0491,140.408,0.45
LIKEY,Yanki Din,2019-11-11,37,cantopop,29,0.505,0.738,177225.0,0.677,0.0,1,0.10800000000000001,-5.666,1,0.177,172.99599999999998,0.951
Blame Me,The Bright Lights,2019-11-11,35,hong kong indie,22,0.0485,0.46299999999999997,287706.0,0.87,0.0,9,0.19899999999999998,-4.58,0,0.0909,158.054,0.563
歲月如歌,Eason Chan,2003-07-22,52,c-pop,69,0.8340000000000001,0.5920000000000001,207853.0,0.42700000000000005,2.98e-06,3,0.106,-6.7589999999999995,1,0.0281,139.908,0.45299999999999996
心之科學,Joey Yung,2018-06-16,54,c-pop,61,0.0704,0.47600000000000003,235782.0,0.747,7.2000000000000005e-06,8,0.109,-6.3020000000000005,1,0.0313,139.9,0.252
春秋,Hins Cheung,2010-01-01,2,c-pop,62,0.805,0.39,259827.0,0.502,0.0,7,0.2,-5.507999999999999,1,0.027000000000000003,98.68700000000001,0.451
不為誰而作的歌,JJ Lin,2015-12-18,65,mandopop,72,0.534,0.402,265800.0,0.6409999999999999,0.0,2,0.11199999999999999,-5.905,1,0.0335,145.054,0.252
偷情的禮儀,Kay Tse,2019-07-17,51,c-pop,57,0.7979999999999999,0.6729999999999999,199655.0,0.491,0.0,10,0.0832,-7.609,1,0.0484,116.149,0.392
大哥,Janice Vidal,2005-11-25,54,c-pop,56,0.565,0.6,235800.0,0.435,0.0,9,0.10300000000000001,-6.814,1,0.0435,135.77200000000002,0.392
突然好想你,Mayday,2008-10-23,63,c-pop,67,0.226,0.462,265867.0,0.465,7.699999999999999e-06,2,0.196,-6.485,1,0.0262,140.112,0.409
來自天堂的魔鬼,G.E.M.,2015-11-06,66,cantopop,71,0.0244,0.595,245493.0,0.7,0.0,7,0.0876,-5.5760000000000005,0,0.0301,135.993,0.302
每天愛你多一些,Jacky Cheung,1991-01-01,56,c-pop,63,0.718,0.682,279440.0,0.336,0.0,1,0.133,-12.049000000000001,1,0.0253,100.027,0.515
戀無可戀,Leo Ku,2012-09-07,53,c-pop,55,0.6629999999999999,0.63,255347.0,0.39299999999999996,0.0,2,0.182,-8.692,1,0.0343,126.005,0.36700000000000005
傳聞,Pakho Chau,2014-02-28,52,c-pop,55,0.539,0.599,247018.0,0.408,0.0,10,0.0998,-6.649,1,0.0273,96.161,0.423
你瞞我瞞,Jason Chan,2009-12-24,55,c-pop,54,0.8340000000000001,0.65,237733.0,0.425,0.0,9,0.12,-7.816,1,0.0266,75.988,0.40299999999999997
